Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
VAMP2,VAMP2,-0.670695156,0.153021399,-0.546782772,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=VAMP2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP2)
NR1H3,NR1H3_P1,1.358741982,0.396035652,0.546575317,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NR1H3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H3)
HTR4,HTR4,1.600455918,0.457003744,0.544283436,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HTR4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR4)
PROZ,PROZ,0.268466926,0.009444018,0.543603428,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PROZ+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROZ)
KCNMB1,KCNMB1,1.863611109,0.510940302,0.543484609,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KCNMB1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMB1)
PRKCZ,PRKCZ_P1,-0.920319493,0.257357513,-0.542494426,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PRKCZ+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCZ)
TCN1,TCN1,0.954786757,0.270550246,0.542082155,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TCN1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCN1)
PIP4K2A,PIP4K2A,-0.99137871,0.284199267,-0.541666572,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PIP4K2A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIP4K2A)
AKAP13,AKAP13,1.052922206,0.306992314,0.540014842,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=AKAP13+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP13)
PRKAA1,PRKAA1,0.828038753,0.222815986,0.539925694,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PRKAA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA1)
CHRNB1,CHRNB1,-1.1411061,0.337141719,-0.53881604,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CHRNB1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNB1)
ODC1,ODC1,1.180313062,0.349717174,0.538556832,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ODC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ODC1)
PURA,PURA_P2,1.031548147,0.301183628,0.537610545,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PURA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PURA)
NMNAT3,NMNAT3,-0.973474985,0.281432836,-0.53601989,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NMNAT3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMNAT3)
HPN,HPN_P2,-0.468269906,0.071972507,-0.535154474,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HPN+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPN)
SSH2,SSH2,-1.210567259,0.362586341,-0.533362086,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SSH2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSH2)
MAPK8IP1,MAPK8IP1_P2,-1.232032119,0.369130718,-0.533247911,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MAPK8IP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP1)
PBK,PBK,0.485968424,0.080133544,0.532711612,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PBK+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBK)
PPP1CC,PPP1CC,1.079671562,0.321836596,0.531592029,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP1CC+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1CC)
TFF2,TFF2,0.455136751,0.068154781,0.530918692,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TFF2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFF2)
SERPINB2,SERPINB2_P1,0.354838472,0.031956561,0.530639631,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SERPINB2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB2)
MMP7,MMP7,0.312615164,0.020127806,0.530258954,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MMP7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP7)
KCNMB4,KCNMB4,-0.478423035,0.078025919,-0.529978431,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KCNMB4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMB4)
STK4,STK4_P2,0.429609547,0.058506985,0.529619333,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=STK4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK4)
PRODH,PRODH_P2,-0.414304486,0.052979548,-0.528607676,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PRODH+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRODH)
GABRA2,GABRA2,-1.398746162,0.420522594,-0.526223224,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GABRA2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA2)
SLC25A20,SLC25A20,-0.76300495,0.204635673,-0.525724645,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC25A20+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A20)
TRPV3,TRPV3_P2,-0.489200868,0.084487539,-0.525013963,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRPV3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV3)
MAPK8IP1,MAPK8IP1_P1,-4.502940826,0.764659567,-0.52473613,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MAPK8IP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP1)
ENPP2,ENPP2,1.135667242,0.346545737,0.522678855,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ENPP2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP2)
NME2,NME2,-0.409085365,0.052979548,-0.521948643,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NME2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NME2)
ATP8A1,ATP8A1,-1.27946728,0.392609192,-0.519514302,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ATP8A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP8A1)
SBF2,SBF2,-2.08726151,0.563850703,-0.519385542,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SBF2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBF2)
PXK,PXK,-1.739797727,0.50303674,-0.519156154,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PXK+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PXK)
HIPK4,HIPK4,1.277175514,0.392609192,0.518583754,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HIPK4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIPK4)
GRK1,GRK1,0.545423547,0.1133637,0.515712138,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GRK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK1)
NDUFC1,NDUFC1_P2,0.590301808,0.134435393,0.514439985,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFC1)
STK40,STK40,-0.359293062,0.037230422,-0.513466449,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=STK40+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK40)
S100A1,S100A1_P2,-1.740505958,0.506980428,-0.513464585,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=S100A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A1)
MAP2K5,MAP2K5,0.521912078,0.103851585,0.513345868,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MAP2K5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K5)
HEXB,HEXB,-0.618240633,0.149504088,-0.51026301,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HEXB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HEXB)
PIK3AP1,PIK3AP1_P2,0.779831804,0.222815986,0.508492177,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PIK3AP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3AP1)
GUCA1A,GUCA1A_P2,0.308877881,0.022931339,0.506427088,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GUCA1A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCA1A)
CDKN2C,CDKN2C_P1,-0.860991491,0.259959695,-0.503760939,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDKN2C+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2C)
TPSAB1,TPSAB1,-0.464183955,0.082287194,-0.503485365,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TPSAB1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPSAB1)
MAP3K9,MAP3K9,0.64770306,0.167722144,0.502235168,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MAP3K9+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K9)
IARS,IARS,-1.357952032,0.427678857,-0.500924359,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=IARS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=IARS)
TSKS,TSKS,-1.318347366,0.416970992,-0.500832461,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TSKS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSKS)
NEK10,NEK10,0.888180316,0.273243461,0.500445396,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NEK10+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK10)
CYB5A,CYB5A,0.341712579,0.034507503,0.499613337,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CYB5A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5A)
CTLA4,CTLA4,-0.258537156,0.011686306,-0.499577228,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CTLA4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4)
FCGR1B,FCGR1B,0.651821699,0.171557926,0.499027661,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FCGR1B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR1B)
PPCDC,PPCDC_P2,0.55265477,0.125060836,0.498980205,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPCDC+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPCDC)
SNRPA,SNRPA,-0.392923159,0.053741407,-0.498890986,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SNRPA+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNRPA)
FGFR3,FGFR3,0.837064165,0.25477346,0.497087051,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=FGFR3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3)
GLRA3,GLRA3,0.427877104,0.0700423,0.494043848,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GLRA3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRA3)
AMN,AMN_P1,-2.237484657,0.601963743,-0.493207996,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=AMN+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMN)
SLC25A6,SLC25A6_P1,-1.158775564,0.375748056,-0.492599267,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC25A6+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A6)
CD55,CD55,-0.999768528,0.321836596,-0.492250605,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CD55+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD55)
HRSP12,HRSP12,0.770566682,0.229923192,0.491943039,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HRSP12+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRSP12)
CSNK1A1L,CSNK1A1L,-0.990683194,0.318830865,-0.491814411,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CSNK1A1L+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK1A1L)
RNGTT,RNGTT,0.764272505,0.227536425,0.491388296,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RNGTT+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNGTT)
ESRRG,"ESRRG_ENST00000359162.2,ENST00000361525.3",0.761361488,0.227536425,0.489516661,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ESRRG+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRRG)
GABRR2,GABRR2,1.75915605,0.526939928,0.489465631,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GABRR2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRR2)
MAPK3,MAPK3,1.51746754,0.475890926,0.489372016,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MAPK3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3)
GALK2,GALK2_P1,-0.502435714,0.10650224,-0.488689705,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GALK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALK2)
PIK3R2,PIK3R2_P2,0.754702299,0.22516737,0.488665621,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PIK3R2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R2)
KCNQ3,KCNQ3,-0.708859748,0.204635673,-0.488417591,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=KCNQ3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNQ3)
ZFY,ZFY,0.527212918,0.119099758,0.487191722,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ZFY+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFY)
CFTR,CFTR,-0.501990798,0.107847532,-0.485520374,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CFTR+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR)
TRIM28,TRIM28,-0.992413818,0.324860763,-0.484598386,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRIM28+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM28)
CACNB2,CACNB2_P2,-0.722468687,0.213586274,-0.484362269,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CACNB2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB2)
PDE1B,PDE1B_P2,-0.889932731,0.286984046,-0.482470129,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PDE1B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE1B)
PTPRJ,PTPRJ,-0.581131121,0.151254954,-0.476696275,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PTPRJ+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRJ)
LRRK1,LRRK1,-1.090295034,0.365849397,-0.476129286,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LRRK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK1)
CDK14,CDK14,-1.049368339,0.352906969,-0.474671028,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDK14+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK14)
TFPI,TFPI,0.655230286,0.189634121,0.473130989,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TFPI+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFPI)
CTSL,CTSL_P2,0.594732798,0.160244368,0.472941766,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CTSL+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSL)
MKNK2,MKNK2_P1,0.502150608,0.114776899,0.472094641,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MKNK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKNK2)
GART,GART,-0.604048765,0.165828575,-0.471363795,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GART+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GART)
SPTLC3,SPTLC3,1.425722517,0.46828514,0.469760775,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SPTLC3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTLC3)
GGCX,GGCX,1.338884263,0.445876658,0.469660868,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GGCX+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGCX)
SLC1A7,SLC1A7,0.35912781,0.04930436,0.46942123,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SLC1A7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A7)
LIMK2,LIMK2,0.518717775,0.125060836,0.468339216,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=LIMK2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMK2)
RIPK1,RIPK1_P1,0.849549016,0.281432836,0.467783125,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RIPK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1)
CDK1,CDK1,1.48194701,0.483563945,0.467622582,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CDK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1)
SRMS,SRMS,-1.070065041,0.365849397,-0.467294895,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SRMS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRMS)
AASS,AASS,-0.583806057,0.158414908,-0.467163913,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=AASS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=AASS)
PROSC,PROSC,-0.510901804,0.122051852,-0.466686127,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PROSC+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROSC)
MTNR1A,MTNR1A,-1.435766687,0.475890926,-0.463024098,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MTNR1A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTNR1A)
PLA2G7,PLA2G7,-2.359137023,0.636785176,-0.462407501,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PLA2G7+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G7)
TUBB,TUBB_P2,-0.749290686,0.242124095,-0.461534582,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TUBB+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB)
TNNC1,TNNC1,0.418475789,0.07907402,0.461146167,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TNNC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNC1)
NUAK1,NUAK1,0.355966194,0.050747928,0.460827315,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NUAK1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUAK1)
PVR,PVR,2.14373298,0.61058851,0.459297733,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PVR+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVR)
MAP3K15,MAP3K15,1.049798726,0.365849397,0.458444643,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=MAP3K15+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K15)
RPS6KA1,RPS6KA1_P1,0.68733678,0.215867418,0.457637697,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=RPS6KA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA1)
TEC,TEC,-0.706221134,0.22516737,-0.457274332,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TEC+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEC)
CACNB4,"CACNB4_ENST00000360283.6,ENST00000534999.1",-0.645879817,0.195961032,-0.457173293,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CACNB4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB4)
SCN4A,SCN4A,0.436361356,0.090197087,0.455913613,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SCN4A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN4A)
S100G,S100G,0.312629693,0.03503805,0.455020036,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=S100G+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100G)
B4GALT1,B4GALT1,1.019998527,0.359341571,0.453381734,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=B4GALT1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=B4GALT1)
PIK3R3,PIK3R3,0.966991943,0.340257998,0.452737561,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PIK3R3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R3)
SUCLG2,SUCLG2,-0.276755048,0.023304587,-0.45181883,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=SUCLG2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG2)
ANXA2,ANXA2,-0.672634621,0.213586274,-0.450952182,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ANXA2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA2)
HS3ST1,HS3ST1,0.828316597,0.286984046,0.44906542,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=HS3ST1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=HS3ST1)
DUSP16,DUSP16,0.802862035,0.275954951,0.448929789,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DUSP16+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP16)
GLRX,GLRX,-0.56418986,0.160244368,-0.448653495,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GLRX+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRX)
PROC,PROC_P1,-0.511179648,0.132836306,-0.448142615,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PROC+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROC)
PIP5KL1,PIP5KL1,0.852213055,0.298306915,0.447698776,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PIP5KL1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIP5KL1)
PIP5K1B,PIP5K1B,-2.392078866,0.650058572,-0.447432397,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PIP5K1B+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIP5K1B)
DHRS4,DHRS4,0.70904135,0.234750023,0.446266624,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DHRS4+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHRS4)
PAPSS1,PAPSS1,0.765725283,0.262580034,0.444685999,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PAPSS1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPSS1)
UGT3A1,UGT3A1,0.792674399,0.275954951,0.443233251,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=UGT3A1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT3A1)
PDE8A,PDE8A_P2,-0.481942401,0.120568733,-0.442791956,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PDE8A+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE8A)
PGA3,PGA3,1.109163043,0.399480109,0.442006841,Non-Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PGA3+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGA3)
