Gene,TSS,Phenotype,P Value,Gene Score,Hit Class,External
PPP1R8,PPP1R8,-9.426923418,0.000141596,-36.2837476,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPP1R8+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R8)
ACTR2,ACTR2,-16.29059388,0.00607531,-36.10698635,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=ACTR2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTR2)
NEDD8-MDP1,NEDD8-MDP1,-11.05930604,0.000663705,-35.1467501,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NEDD8-MDP1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEDD8-MDP1)
TRAPPC5,TRAPPC5,-11.20748985,0.000907509,-34.0948547,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=TRAPPC5+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC5)
NDUFV2,NDUFV2,-8.869054975,0.000172662,-33.37250873,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=NDUFV2+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFV2)
DCPS,DCPS,-8.860519877,0.000215234,-32.49231607,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=DCPS+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCPS)
UBA1,UBA1_P1,-9.762425352,0.000470986,-32.47951107,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=UBA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA1)
PPA1,PPA1,-8.684733204,0.000185884,-32.4006378,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=PPA1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPA1)
GFER,GFER,-8.772880776,0.00022053,-32.07832212,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=GFER+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFER)
CYC1,CYC1,-8.877462952,0.000347587,-30.70658041,Negative Hit,[NCBI](https://www.ncbi.nlm.nih.gov/gene/?term=CYC1+human) [GeneCards](https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYC1)
